Description,Receipt,Date,Amount,income/expense,uses,Category,Account,Notes,Double Checked
Uang Dekor natal,,"December 31, 2023",-66.03,expense,,Acara Natal,paypal,"PIC: Karyn, Ruth",No
Einkauf?,,"January 3, 2024",-93.04,expense,,Other,sparkasse,,No
Spende Kevin,,"January 13, 2024",30,income,,Other,paypal,,No
"Persembahan ",,"January 13, 2024",104,income,,Persembahan,paypal,,No
Persembahan,,"January 29, 2024",25,income,,Persembahan,sparkasse,,No
Perpuluhan,,"January 29, 2024",150,income,,Perpuluhan,sparkasse,,No
Uang Pendeta,,"February 1, 2024",-400,expense,,Pendeta,sparkasse,,No
Persembahan,,"February 5, 2024",20,income,,Persembahan,sparkasse,,No
Konsumsi Ibadah 27.01.24 + Kue ultah,,"February 9, 2024",-88.77,,,Makan,paypal,"PIC: Aldi, Winston. S, Victor",No
Persembahan,,"February 10, 2024",174.52,income,,Persembahan,paypal,,No
Persembahan,,"February 19, 2024",20,income,,Persembahan,sparkasse,,No
Persembahan,,"February 24, 2024",172.85,income,,Persembahan,paypal,,No
Persembahan,,"March 2, 2024",82,income,,Persembahan,paypal,,No
Persembahan,,"March 9, 2024",123,income,,Persembahan,paypal,,No
Persembahan,,"March 11, 2024",20,income,,Persembahan,sparkasse,,No
Konsumsi ibadah 09.03.24,,"March 13, 2024",-10.98,expense,,Makan,sparkasse,PIC: Toni,No
Persembahan,,"March 18, 2024",20,income,,Persembahan,sparkasse,,No
Konsumsi Ibadah 23.03.24,,"March 23, 2024",-65.09,expense,,Makan,paypal,"PIC: Gaby, Erico, Ricky",No
Persembahan,,"March 25, 2024",30,income,,Persembahan,sparkasse,,No
Abrechnung,,"March 28, 2024",0.95,income,,Other,sparkasse,,No
Uang Pendeta,,"April 2, 2024",-400,expense,,Pendeta,sparkasse,,No
Persembahan,,"April 15, 2024",25,income,,Persembahan,sparkasse,,No
Persembahan,,"April 22, 2024",5,income,,Persembahan,sparkasse,,No
Persembahan,,"April 27, 2024",109,income,,Persembahan,paypal,,No
Persembahan,,"April 29, 2024",30,income,,Persembahan,sparkasse,,No
Persembahan Offline,,"May 1, 2024",5,income,,Persembahan,paypal,,No
"Persembahan ",,"May 1, 2024",2,income,,Persembahan,paypal,,No
Tiket Baptis Victor,,"May 5, 2024",-72.89,expense,,Other,paypal,,No
Persembahan,,"May 6, 2024",20,income,,Persembahan,sparkasse,,No
Spende Praktek Love 2.0,,"May 11, 2024",85,income,,Other,paypal,,No
Praktek Love 2.0,,"May 12, 2024",110,income,,Other,paypal,,No
Persembahan,,"May 13, 2024",3,income,,Persembahan,sparkasse,,No
"Persembahan ",,"May 21, 2024",2,income,,Persembahan,sparkasse,,No
Persembahan,,"May 25, 2024",98.03,income,,Persembahan,paypal,,No
Kue ulang tahun 25.05.24,,"May 27, 2024",-15.98,expense,,Makan,paypal,PIC: Aldi,No
Persembahan,,"May 27, 2024",45,income,,Persembahan,sparkasse,,No
Konsumsi ibadah 13.04.24,,"May 28, 2024",-62.04,expense,,Makan,paypal,"PIC: Wisnu, Aldi",No
Perpuluhan,,"May 29, 2024",150,income,,Perpuluhan,sparkasse,,No
Persembahan,,"June 1, 2024",140,income,,Persembahan,paypal,,No
Uang Pendeta,,"June 3, 2024",-400,expense,,Pendeta,sparkasse,,No
Konsumsi ibadah 26.05.24,2152447.jpg,"June 5, 2024",-44.88,expense,,Makan,paypal,PIC: Reggy,No
Einzahlung tiket transport BCP,,"June 6, 2024",48.3,income,,Other,paypal,Reggy,No
